,Address,Listing,City,Bed,Bth,Map,LotSz,SqFt,Year,DOM_CDOM,Area,Subdivision,DayofWkListed,MonthListed,YearListed,Date,SqFt.1,OrigPrice,ListPrice,SellingPrice,SPLP,Unnamed: 21,total_baths,full_baths,three_q_baths,half_baths,q_baths,coords,lat,lon
121,1005 Lighthouse Dr , 44017181  ,Storm Lake,4 ,3 (3 0 0 0)  ,",",3736.0,2028.0,1991,340/340,     East,  ,4,7,2015,7/9/2015, 78.90,225000,175000,160000,   91.43,42194,3,3,0,0,0,"(42.6411587133184, -95.2138144046489)",42.6411587133184,-95.2138144046489
122,904 Angier Dr , 44017207  ,Storm Lake,4 ,4 (3 0 1 0)  ,",",12489.0,2142.0,1974,48/48,     East,  ,5,10,2014,10/31/2014, 91.27,199500,199500,195500,   97.99,41943,4,3,0,1,0,"(42.647933040547, -95.2248533312936)",42.647933040547,-95.2248533312936
123,1012 Oak Lane , 44017215  ,Storm Lake,4 ,3 (2 1 0 0)  ,",",9140.0,2315.0,1971,143/143,     East,  ,2,12,2014,12/30/2014, 71.27,182000,178500,165000,   92.44,42003,3,2,1,0,0,"(42.6498399402421, -95.1891950965369)",42.6498399402421,-95.1891950965369
124,716 Winthrop Cir , 44017377  ,Storm Lake,3 ,3 (2 1 0 0)  ,",",23800.0,1590.0,1968,37/37,     East,  ,1,12,2014,12/1/2014, 138.36,239000,239000,220000,   92.05,41974,3,2,1,0,0,"(42.6314762133135, -95.2367464717275)",42.6314762133135,-95.2367464717275
125,1204 E 9th St , 44017387  ,Storm Lake,3 ,2 (2 0 0 0)  ,",",11326.0,1264.0,2011,175/175,     East,  ,5,4,2015,4/17/2015, 132.91,184750,173000,168000,   97.11,42111,2,2,0,0,0,"(42.649468258586, -95.1866596888925)",42.649468258586,-95.1866596888925
126,1009 Evergreen Ave , 44017404  ,Storm Lake,5 ,3 (2 0 1 0)  ,",",11227.0,1283.0,2014,223/223,     East,  ,2,6,2015,6/16/2015, 141.10,194500,185000,181031,   97.85,42171,3,2,0,1,0,"(42.6495685, -95.1868502)",42.6495685,-95.1868502
127,1113 Lincoln Rd , 44017406  ,Storm Lake,4 ,2 (2 0 0 0)  ,",",15184.0,1836.0,1974,38/38,     East,  ,2,12,2014,12/23/2014, 112.20,215000,215000,206000,   95.81,41996,2,2,0,0,0,"(42.6514162414065, -95.1933526979795)",42.6514162414065,-95.1933526979795
128,1107 W 5th St , 44017432  ,Storm Lake,3 ,2 (1 0 1 0)  ,",",9441.0,1936.0,1936,117/117,     East,  ,5,3,2015,3/20/2015, 78.00,157500,154900,151000,   97.48,42083,2,1,0,1,0,"(42.6444463636886, -95.2150458132676)",42.6444463636886,-95.2150458132676
129,716 Prairie Ln , 44017456  ,Storm Lake,4 ,3 (3 0 0 0)  ,",",15800.0,1696.0,2007,19/19,     East,  ,1,1,2015,1/26/2015, 154.78,275000,275000,262500,   95.45,42030,3,3,0,0,0,"(42.6319043406966, -95.2441578788261)",42.6319043406966,-95.2441578788261
130,901 E 9th St , 44017464  ,Storm Lake,4 ,3 (2 0 1 0)  ,",",9148.0,2010.0,1974,32/32,     East,  ,1,2,2015,2/9/2015, 78.36,159500,159500,157500,   98.75,42044,3,2,0,1,0,"(42.649657, -95.189253)",42.649657,-95.189253
131,1511 Shoreway Rd , 44017519  ,Storm Lake,3 ,2 (1 0 1 0)  ,",",20551.0,1754.0,1957,51/51,     East,  ,4,4,2015,4/23/2015, 88.37,169900,168900,155000,   91.77,42117,2,1,0,1,0,"(42.6433424153645, -95.2208113763167)",42.6433424153645,-95.2208113763167
132,608 Lincoln Rd , 44017527  ,Storm Lake,4 ,3 (3 0 0 0)  ,",",9603.0,1198.0,2005,87/87,     East,  ,3,5,2015,5/27/2015, 150.25,185000,185000,180000,   97.30,42151,3,3,0,0,0,"(42.6534822, -95.1924039)",42.6534822,-95.1924039
133,1001 W 6th St , 44017570  ,Storm Lake,4 ,3 (3 0 0 0)  ,",",10680.0,1400.0,2013,161/161,     East,  ,1,10,2015,10/5/2015, 125.00,189900,189900,175000,   92.15,42282,3,3,0,0,0,"(42.64554, -95.214495)",42.64554,-95.214495
