,Address,City,Bed,LotSz,SqFt,Year,DOM_CDOM,DayofWkListed,MonthListed,YearListed,Date,OrigPrice,ListPrice,SellingPrice,total_baths,full_baths,three_q_baths,half_baths,q_baths,lat,lon
143,707 Maywood Dr ,Storm Lake,4,9602,1294,2007,112/112,1,11,2015,11/9/2015,169888,161888,158750,2,2,0,0,0,42.6527703964984,-95.1922811323356
145,3102 Leona Dr ,Storm Lake,3,14000,1554,1979,82/82,5,11,2015,11/13/2015,194000,189900,184000,3,3,0,0,0,42.6306935,-95.2414887
146,1105 E 8th St ,Storm Lake,3,9600,1320,1988,137/137,4,2,2016,2/25/2016,159900,153900,150000,2,1,1,0,0,42.648397,-95.1878323873497
147,800-804 Michigan St ,Storm Lake,5,10000,3052,1950,0/0,1,12,2015,12/28/2015,160000,160000,157500,4,4,0,0,0,42.646947,-95.202117
148,104 W 3rd Street ,Storm Lake,3,12000,1844,1955,33/33,2,12,2015,12/15/2015,155000,155000,155000,2,1,1,0,0,42.640866460686,-95.2011228548807
150,1107 W 6th St ,Storm Lake,4,10680,1478,2013,164/164,3,5,2016,5/4/2016,199000,199000,199000,3,3,0,0,0,42.6455379052556,-95.2151556246349
151,509 Lincoln ,Storm Lake,3,9741,1400,1990,11-Nov,5,1,2016,1/29/2016,178500,178500,173500,2,2,0,0,0,42.6534822,-95.1924039
152,508 Lincoln Road ,Storm Lake,3,11250,1400,1990,96/96,4,4,2016,4/28/2016,162000,158000,150000,3,3,0,0,0,42.6534822,-95.1924039
153,513 Swallum Dr ,Storm Lake,3,10066,1521,1964,24/24,1,4,2016,4/4/2016,169900,169900,165000,2,1,1,0,0,42.6430020396463,-95.2182331688906
154,1013 N Mae St ,Storm Lake,4,9172,2080,1971,63/63,4,5,2016,5/12/2016,155000,155000,153500,3,2,0,1,0,42.6498243596478,-95.1900302177821
156,1113 Oneida St ,Storm Lake,3,11125,1296,1970,38/38,3,6,2016,6/15/2016,154900,154900,154000,2,2,0,0,0,42.6513844071062,-95.1949712723133
157,801 E Lakeshore Dr ,Storm Lake,3,6866,1364,1952,35/35,5,6,2016,6/24/2016,205000,205000,196000,2,2,0,0,0,42.635932,-95.189964
158,920 Angier Dr ,Storm Lake,3,12003,1887,1981,17/17,4,6,2016,6/2/2016,209000,209000,206000,3,3,0,0,0,42.6481580416898,-95.2248344459938
159,1624 Hyland Dr ,Storm Lake,3,12964,1512,1967,5-May,3,6,2016,6/1/2016,149900,149900,150500,2,2,0,0,0,42.647662,-95.223841875
160,7 Vista Dr ,Storm Lake,3,12272,1188,1950,37/37,3,6,2016,6/29/2016,169900,159900,154000,2,2,0,0,0,42.64421,-95.225825
162,706 Barton St ,Storm Lake,5,14774,1790,2016,63/63,3,8,2016,8/10/2016,229500,229500,228000,3,3,0,0,0,42.6458855,-95.214439
163,805 Highview Dr ,Storm Lake,3,9252,1592,1955,1-Jan,5,7,2016,7/8/2016,156500,156500,155000,2,2,0,0,0,42.6465254362694,-95.2223526004591
